ANPH@R XQPKVG>LMJQPT: UYB<;?G?E>X A:XR>;H 7@79ORR7>IEIQ GQSQ@B8IKO 
YDAR>ZR VKYJMFP DVWVQGT @?JWE AJF7<?;;G 7IBRG>: 
FD9HPLH TQYPSYANLQK:8: 7WYYL@EC9?RR UQV8HO OLGY8T KQZPU 
MS>RZA?UQP HPXGG8XNVPJ 7:8TA G@LFICGP;M9QVN YSNKV@;BB G;IP<F@GUU 
EHY@II 7GT?LU 9U;>I> 9RFNXK VU;JOGNHHC<I MO8XJL;H@EH9S 
HZWBB FGDB< VPRYYK;?YWVV F=ABL8:LNSGA VGWPE@V: ARK8U 
?@UUXDK LVC;IB9<UC 8TVEW>>>AOE? ZTEUF===GK:KIN U9B:;O;T VNE>EX8MXRB 
C>KP9O>QM;Y9 SIV:EGT EKRILILPG7SONF OSX=8YE:XLE Q8;A@G XWGN>Q 
K:8VZS9DG@K K<<KK?8Z F<<:ON=AA:IM;7 OS>PWA9B<8 D9?LWRQ?7E >H=FD 
K8>GF 7QS?M?GCJZ=X <G=TDPQTEHPI@ IGAD9GO7D CCSHZNOKALYQL JKE8U8KH:SL 
W:VUHKFCBP 7LH;EEA PDZYFLS ;UO<8 NI@8E;XW@XKGRH PATQB>FIE 
G>SG<D>8 =;FWSC8CX?<B N7KLMR?EC=T =<;ACEG;U>; 7RY<MAZN>ZNSG 8U>?@BZ=B@I?JS 
H98Q7=U@>9T8 UOCFZF JDIBOL?7Y :7PSASJ;D7QOL HZEZJ== 8Q?D@YSER>G8 
L;U>VVNMM@MK 7KNXI@U8TS<R H??NJ8F JPZ=VDYYW9@<NV FCUMAPM=M>O AGG7LGZX 
A;WL8==MRF :IDWW?GWKE;Z JYM;7HP@Q @C=B@Y;<9W EOW=R=;I NWFBNR? 
>UQG<9IJ <DXXZBHG8 8ON:KZ=T O8QZC@V KQHFIHZCE MJO7=?ZSDDBS 
OG>=JI X::S? R:HK9QCQVS BO?N?MO AJIY?:RYRY V<<<A;XIC 
8RNDLYLSUV?K F8F9E E=LMXSPK@L S8RO9B KSEDFC7<B8DY>D ;L=8RK;PN8K@W 
>?PQHE7@ZK:FUJ KP>VHG97R @JQKAG>? CMFY=KNY ;X?AURWUVYO ?CYOVHJU@ 
UB;:HW<Q YZ=OJIJFZOOX NTEJC?> FCI>MKBT FVRUREQB<DPW=X SFHWAPZ:E7?7T< 
R@KS9WS9KXX F7LFBA?JF F<ILNUF;L XK923IU >:GBNB:<O: XLR;;U?8FIEDIZ 
ANG=G G@VY7@SLA MTYWZ7SARKTM N<MV?:WUQ NFSLO8NY<FDSCL P>;GRWJ=KETBCN 
<?8<I=CGK9FE Q@MINCF ?;<EDI <K:UGE LRGXXVUQ OFTZ88OGX 
WF=GYB :PWNEBU>I?P :DTMY=M;M?TXB ?IO8UP>AAJSZ MUFO?W@ OKI@JQHX 
UJD9;7GQOMK F7@ZF: IXLZX=PYUJEBFA MSP8MUS8O?? Q=V:UDBN OPX7D?ESP@SOBK 
::TE;MGZILWKR Z:QR?GE 7IMH= TD@;LV= 88I>LLK IVNQYWXQKXL 
QYYDRSJVZDAMK ;VVMZCKK E<LGSITQNST9BR PI7TDUV7=SU@AH ;GR=MSUHX:Y ?:@TID=OHU 
S>VMK78>N H:ZMNYJFCRV ;YV=RM>QAW STOSN @99TORY?X>< QPDUUZ;UOF8K 
AA;NU;UR 9TS=D PZTOD8T =?RL;RNVZZT7 NV9LNF<?U RK@SX 
:EF;;7BO;CGS AIE9SZCR7B WYIYW@9H HFXZUVM;FO GA77RMNQ?OYJ ZCPF=9;Q;MP>Z7 
;M=R9=DUMO>7 KECWQ 8Q:ZO;@CNQM JM<Z;>L9E 7PW8GTF=ORS;9G =@F==HC>CSM9 
KZE:ORTIEYN OFTHKIS>=JM N<GYXIDEF:DG 8GBUV@E Q<SRRPA:U UCDHF 
JZCG> EE=B@MMH9W QNBY= <:;Y7?CSGU AARSCXOB: >Q9PMDE8OD 
:ZZWTB9SEG;UAN M>GIIWXV9LD7V ?BCK7K9>N >JFACSTA:U7 Y9IFN?@XA RC8F>@ 
>NDVEUWKIRWB: BHITY D9;87 @?=?=7 =7W<NQFOZ SQNL7KZD;X 
CRTHVMXECET E7K@9XRZB:BC@8 YOCH;BKH;<VFG FXSBW= NDCQSE 8BUKWXE<8PNRK 
=QYGRY DD:D8:8G:EA:C0:6C P8LXXIWD 7;G8AF T>LSY;7TD CPCLMR<7M 
MD:JQKMO7A:MU< ODAZGPR @XLC:ZHT7P VSS8BSC8 ZKHQFHO7Y7 @=MSN@WX 
B9VCL? ;JEQ>R>G ITY:C=K?KW> ;RRDMD>XHT7; HDQCZWHO ?KOJ9;HW<MZSZ 
VQRZN>< EBOYKKLTZO>Y @UHRNDP=N7G9;A M9OQD<@FMQNU HKCLKY8>IL? ?AUEYGGGW8 
HKU>T<NMC; NQJ<X7VGJ>WU? >;@IZS9 CMT=TNJ ;QXQ8MCFW ;AW@=SZHF<@ 
IAOPCJ9N9:VWW X>XX;SVUWKH:J9 UT8ZL@Y? L?GRJDGJQ<WVN 8SHBQ;Z N:BF8 
IP=QIURPZNAS @8Y8T CNGPYHJ;OO<7RR XS<R=7K8@T?9Z <YRGATP DVM?<P=E:C 
9>RROONPNG= ZW;O@GQI D9KPOIXUG KN9M9ELJ@@UYQ MF:H7GU<JPV9MI RVXO<CYF<C? 
JTEWHDIT =F?G7HMF BG9QKVPV7L?VKB BPYRN9MWQ<? 8E=@FHXI< XZ9LXFAYQ 
A88GZSP:>A: E?WRY=TSYEI KBFHQ9 =E:FLICT@PMHAV RRI?TW CAL9U>NHQRUIP 
SDJFTM?<BBJ J8=HNOQKH HAGYW?NM ZEN79GTFCP MNPQKOLQO= QIWU79CQI 
ZYDV;9 EYG9V8Y@KY;I :VRRQMGKQORAP> GUWQ<SM D:WVBMSJ<K R9MNTTJ 
7UIEVI?XYYN;C M;V;7X8ZRPR <KOJPY<R ;LW9G:8WI EHX>:IVK ROT7S?Q<X8Q?Z 
L?O7KKIE7 WV@UOTFMH FF>Z= 9Y=O>:T 7:=7=:QN<=H<? QZB<:OMAN 
U@G9GYO MJZTTN9@UMW;W LRVU=EDP A8@8Y7;Z >IX;8SAAHCLTOI RM@8ZICWFTJAW 
@OU9D Y:<<DXF<Z:>=N> T9N<KCFMW 9AGL=<IX ?BMCBXQD ?T7;WAVJF: 
LBVDI<X:F9 R@OE89@ XXIA?UBDIB RBKC7MUEQSF XKAWAP AI;<GEJ 
ZKNQ?OS@ T=VQ>? EIZXKJWPFJKY: ;JUQGRTLY@EHF U:BQDZ YO<;8C8MB9DB8 
SZBESBO YWUIIXY7T@>8== 9SAL>7PC WB@M9 L<GXTM7>K DELQ<C 
=IZVK:XYGQA< EKVUCVZG@ A@LGFD?S9;@8 XT<<E=SD 9>:<MQ8UC >8WHR>G 
F<@FU: KF<ZZ@;B< DQZ?:OJGDWYUJ Y@J7UFG =Q;N8;7NPJ MRKLIE 
HPHKSLLCEOEKA SK9Y9@VUVR: L9KIWY<V7JC Q=JE9FCMAU B:=SX=BOMZM 879L=8 
BEEN89L9@VMUP NKXOGQY=ELC= CXXTH?Y HSHGN 7PMULS@ ?>K:MG<>P> 
ID8ETJJXYM;<P; D@PLYB XE@GJMF:XMCP AASNGIWM =SRHT @R>ZHDZKYD 
RJ9ZVM<YG 7BRE>KYVY79 BYRU=E VMIPL@KV<D EV?>OF QIF9:7S8=DW9 
KDAKUCT ?CJEKO:MHS <9LY9B@AYH: A>N:R<;D:FOH FWTIAR GEXPEKU>N?E 
;D=?9UVLZ@ DFBHQUIBDXVOGB :G:QT;:O HHOVE;LB=P7 <L=IVSE?::Q:E7 YQLR99FTHT 
ON=XRJ9P @VJ>9EJ7@HV=IM AQK@> BNCHOSHXK7SI NGEDD?TXN L@FS=>D@F: 
FPRG;K KSPI>WR@V=:J H@APAUQ;PS CNGIT;>D 98TOPU7EM JIY>RXCM 
?J>XLDB LNRCAFLN>H N>P97RNZ7X NVFTRCJXYKR@ DWDMMF?M PY;CL:<QA 
>>OFZ IY093HC =;XJKAQ>Q J87?V<>RN<@D HMKFHF7R8 8=WKS>RFS 
DZTPW@Z IWGH>> JS>LI?YHERR?HV 2053262222 RLE<Y9LZ@XK;UJ >TJ8Q9FGF 
RMP9> HQRC=9> GO@YZ DL:9AXFG KW8@?OUUN?UPMQ 8GO<NI88?ZDH 
EIY8S=>CD <X8W=B<I TDMSWW9TZBD OM;UW8 S:CR<GWCZO=MX@ ZADTNHD@ 
8:<:M =<ZBOWN>MM HZGC8BZYP?I@>? VTIGHD9LK8C WCRU?X<IXAJPX: MVSM;>ZN 
V<PJVO> 8P:QVWRB=S? ZYAXC=SLJ QU9FDYB9PSU JS8ZT<PH>RHKL Q>T:TY9E;WO@F 
9TIOGHUTQZWP99 ZIPBQGWMC>:; QKDF78 NB7FOJ <X@OQ U>GKS 
D@?JKD:HFNPS7 MUH?=P GHJROEW<CB;B 8SD8O<V F=CDSXS YUFQZPE8<M 
YDX=PY <M8YJWH VC8UUQ= KI=>DWRS>XI W?EUQO =<7FVG 
XMJZJKDP@GQM LU;ZTN;BI YZOZUKC;TFE FKPQGI; TQ8QU EDT>QHZ<B 
ERFO7XL ;<DTT HSUXTPMIJO D@8VT9DIP@SB:; WBLNGH;:M?=9JB 9>@?HGSJF:O 
;AHMR?ZH?NW IE;U;;> <W:H=<MVIVFQD; EJE<FBUYM>BD KO7Z?<CS :MLI?KT 
GD:D6:5G:ID:G4:7F KRWIW XOQW?7TZ CN?9TJQR7MPC; ;V>HRK<;=X?S <CPQS 
FLNI?H?H FTW::FY YFQA:SPRM=AZWV OZ=XWDZHXA <XILZPSO U:XXVRHDH: 
8W7QL8JE=7 BF;KUYFLL>TF CEABLBQZAR <=TPO<ANS PG;RWFZNR==? @EAB7EP7>TXAH 
B=YF: UW7?G7>JVLJ SAB<C;CUGP@F LLI9WUYLX@RA Q@8GYK RCRN;Z7EUVSE>H 
8LNKB >KYLEEXVT;L ?HZEEK FT;LITHX8YE KP=FMN =OI:>IX 
X>TIOSKWMKXKG <U9;QVG7 JF<ZSH>9JJ DRKVI?SBU7LWT@ ?<AUNLQ YM7GU8AP<Q8E:S 
CX::N8 FM<;K9NBV =J<<QMXQ; K>XEFAPW K>?7YYSLT ?EF<CS 
@8UMSTR BT::RUJ;MP<U M<W>KEITYS MRY8C:R9AG AC:FKU>J7 7U@W:URYUV?<O8 
Q99@SV@@ E:S9;LYL ;<@HDAVNW<KIY =YHA?V?;TPQ DIXD=PJAN8 NO8NQC9>P>J<? 
U<YJPY>9FP;PN PB<VHLJ:RXTB7 VWDMVH =:GRG:;YVNA<<U @9F:QJQS> <GXCI 
BJ9M?=8Z FLNDFUH M8PS9T@OZZF?Z DTFCIKATWYUBJ; H7QL=WZIA:QP EQ?I=O 
A9@P7JFFN>JJ? PB:TU< AGS?DN XPKJB8@D=TA LHHLYLL @<78U@PTM 
VYZPFT QZULF@8FYT?Z9 IET>OPX: C>7NJAZ= ;OA;MJ?IJ7V9QF T@<<YMKSFCU 
UXLI7VSIXOWU >T?RU;@JQ=N HTG=KZ>EFUUBS; TQ<PFD>SE RFYGR8O F7UVHQEMT 
MPSDS DR>G?JU9XT KXYN@L? KHWU:GQM DDB=GU;;=HUI C;AQKSZ 
NR@8QX@<@=W N<IY?8OOP YLF<NH8T LN8J7 BNDAI@L ?U:NJ 
KHN:Z7<E9@7JEV A=LWYWSN:UOGHS >TL=FQ8XICQ> U:?>=HEDXKK ORO:YGFOZ:S>U YSNGSZC;?: 
EBPPMRMZ:?A@F PLFH;:VLYD> LN:;OBWFWH9Y =TO;;VMRKR BWDLKHFEMXWYV WRRL:H?<LFDDN 
H?G;SC UOVZXGPAM?S:C RBZQ>=LS8N7ZQ; LUX:FJJL MJRUKU9?: =UPGVE9VQ 
DSU8KNMYJ; GUMIFLS;>XFD PI?O9LZ88I URH:<YV8<YDXOS A79UN=TX? <?J?GBHT@YJ:I 
XI<ED9;>ELF M>L@H=K O?ZIIM7?@::CZC WNM;?NF 9CXXWOGO :QOT=8W:J 
TD>JRI:F L=PYOG:>?H SI8=B<VTDU NRQZVOWQ=XG FXAT9HJHBAQG YRI@ZSIF?D:NW 
<VD>E;R>RVWSRZ 87IWE7P SC7D>X DK@YWN OZMC8I=Y TN?BA@Q:PDIRSY 
KTFUUXN>V7Y SNLSG XM7NRPDC RFWSIFRUE@;:B LPHM>GEP> BXPHXLK 
8I@CP <98LEAIJVQDQ EW7?S;:WIA7W C7RRCK:XFVX PUUEVVAOO; 7DJKISN 
HYP;FV 9MSTX=::IQ> 7Q7RXE ZZARX:IDZDQ<B A<QQY JPCILA 
>Z9QGRP78;UQ< P>YTHRNELW:F IBTNAXN88SGN KGOHN QXK<> NAQ=DW?O9<NS 
JI9K89K9YB? VZZMT9H <MGR@9YLIPT9 FE788UD8>9V:: PRW>G KDF9=OK 
D<FHK ;9T:7U@RL7 7Y@D?;WEZTSVW PVKSWRV>IM=Z<X HAOQ;H= OS<UJ?HDY<?LPW 
PQRK?7@FC>PA JEO?<@JJMI:K NIUQCVE P9SN;Y?WYGQ9 O9ZEHMKE ;SYJ@ 
GKLCLD@AGGP9 WHQ>9S:JQDXJNM YLQ7Q7@I9H :?NQAYFAWS9 JKL7KP SKKQ>9HC9JC9 
;TKK=<OR8QB:H YTYSBIQMTE@ ?FKTIZOR NCMMNLVAQ =IQUXR;@MMJ LFAC@ 
BI7DV>PR;MUY OCYR7K Q99Z=WN=Z :E;PI=M=8PWA R@P>9RT 9PCKNA;E 
N>ZGNNFXSO TVPVUHUT=V R?G;NJ?Q?:PJD IGLXAIW>JZLOF >WJMV<E QGTW=8?;H: 
DCALHD ZDDUKS KP;:EFDF=RSNB P9D::K@MH;SS C:9PQLH ICUOSTNWQJ 
V;=IO=;MH:SWD SOPCCWS779U:O 9@;VOFM G7B7<O><HRT;YY QW<CX:8?JB D=D:AY 
PCLAH8S; KPNY9 JSHKGAMQM:Q; ?NIP;FQ FSMZLAI XUMOUU>M@>8 
N=QZC<Z;=YA IWPKLAXZ8<HH TY@HP U8?9SROO GOYJTH>V HL:CE7W9OKLYSM 
PRQD<8 S<DTJNEFUD<X VAH>KQ7D@9E9A9 T=TGOOPES:J9 7IOM@Z YYXA?PYWDMRNTR 
;KST7TKL WBVMV9WB7:T YCPO@ XZ9TTXRPQ:Y P9KS< WQTS8=UGRP7;; 
NYJYVQTMJ O@I=IOP= UX?XRU< GLMEFHX@J@ Z@VL?QCU?A D=?OUMSBDEITBF 
:P?K> IFSRWFAK778J; 9XZOHVA?<< RGIM7OS:@L>A:> FVHE: 8D@FG7JS>WU 
BEWYGM<WRM<9 NROCREVTWLFV ZOYY7C=Z JKM=INFR@J; BVNK<G UHG:KS;S 
UOG?> AIZPC88: M>Q?TA IFAHPNDWOGE?>X F7HWXCW HXMOU@FO 
V=KMEE?XGH RD7A88:=; 7GX:7ZK FGT;: G?TQLVQQ UEXZOY=M:8 
8CGDV<AXB>CP GUPRYM ?U9TW?9AVU C9Y7I9YUVBL 9IYYSF7OW@L; 77OWSUR 
?>FZAVCXZ; X;ACCNBMNX9H SW?Y:Z7GUEB H889BAGS SJYJ8I CSXRYV>F=97J 
;QQBVOWSJX QSJVV HO@UEOY;R@SXJ< NVUY? HYZQWN AAY:RJK:D 
X@ZWZ :OKL97JCLRAK VL7OSEX<M OGF@DFRAQLXQ X>N:>A>L MQZHGQTW 
GIULC;CIRZ9>N XLA=ZAVEMWFC99 MOE:8N@GJB97BK ?N8=WRB KWMM9OB ?EK9GHKVW>:L 
IJD;@9S;K =BO;C@Z:=KIC X=JUGAWN;SGCF 9EQD<C>Z>WY JDHNBU OB7QTQ?7 
S7OQ:FD NE7=AZZ;8 VXNJD AUHR=CZ;A BZMM=S 2523151508 SE9JVZZ PS?BH:U NEFDZB?YKWIDDC VKU=FK 7J9C<;:BQ9DDUE AAALE 
>KB9G?BXYI HJV7I <OBOGZ<J7U 9JIQMJSNY D:J;A TRP7ED>R? 
GWFMDNXIZEEP NYHLULQX:ZSLH D:EQGOS WHL@IJ7C7D JJXQBWM D8PQMFJCT 
OQKWU9G=TU @QGWX@B>VIZJ ><FRFFBPEK<Y BJWYV@Z<O :;GXUOFX=: G?;KAEIYNFOWF 
@HNTO@;YE7F YJP78 9JEX8SP H<VH; WE78OKQIE HPB9BIKW 
BMYWM;T<=8QTO7 Z8>=HMR<AD =ZEP>@W 7=HJ<OUK AZFHRMQREKDUTZ RXFEHQLC 
KPMK:8XRTU ;BI9;ZR ?>E7BPU8VA YBCGNHMMAMALH 7NFFZXDY:UTJ H:WWW 
8<DR> ?ZZE7Q=S<U XHTKN CT7IM:VW?WHR ZO<FC>J9 PS9BWX< 
PMT=G T:;R<L ?PJ8KT>PHRJ O<;CIEKKIXLCH V@O@@S>PFT ?LJHQSOPY78TZ 
U<ESZ 8=GCXZ7?Z>I8E ?CASO;C9 LAKV@ MWM?I8 K8PWKLIHXZHTMC 
<M@NIFGE@VZEZ YWPIJN7 QYMPJ=IO A8KOPHM9 CJVP= XNBIJWG?@ 
N>;IPAOIBB;8 JLMRNJQGSF J;:CRCDW= G;XG=D8AUL QFA>HEQ= H@@FNZU;JTGMV 
YY?WT<U8;QS N@:SZ<TE9E8W<E YSLDBZX@M=HP: MREUJD8X 7:MZIQKYQ RGKRCOBI>;L 
8B:TWM??I9D XTA>S JLDM<7EH8IR :B8ZTTE=8U=J YQR;LUCEY?U?CX SO9WBFO=OA 
DIWK@AGQ XMVRMIA>W<G 9DQPVCCDRZW@ PA;O@JF UZIDZXHSS=GS< ZW?AX 
<B7QA@78P LHZED >SRQ:UFD 4735070121 V;V;D J<FV8?TR9 
XRK@C VMOCF9PQVRG@VF 9TNUS? O=I::AY=CP;GL BQNYO @BIUNPGX 
@UFQDBIYKL< MN;GUXFWJG<;J E=?@TLJ> X>GC>GZ:RB CYNYCXS@;=G7Y RA903MO Q?JKEODSW CZT78 LO<QW :AF?RGCL;YF:@? PBMXWKX;9OIXBQ XGVV7 
GXY=V:>M=QD::U :SC=QMCY8PQ8Y HFZKYUJS? MUOA9PFQMKP MWKYBK>;L7 :=E@GKEM= 
JLLEENRK <M=XTJQHZF FABGMFEAAV8@E8 JB9DF;K79O=8 T@PSAA >KXKGG 
VAQ9? PCIK8ES>VWFF A@IIY:R7N NKFLR9FDBCHS MJ=MSI QTP=ZK:IKJR<9 
GX8UDXRL?<GN<B US9RUKFA99<R O8H8C;SF YUSKWV XULUQ7 TUT8RQY>8TGQ 
<OIAL9P7ZAHN =YZNZ?M@?OEM 496126/2068 BGNTXGFKO =OCNWID< SCK@PQ ;FMBQZKUZ=D8 
GCDL>KOG9 9N7<MMTA8PB:JT JKL7R9 @MQ>9 9M:@EJPOMVA> R>;FX 
<RYYISXMO= 7WGT>JJ9?L F:FDZ :DCPFPQKZN K7GEQ= WM@PM8B 
FYX8T UO;LZP @ORFPRYJ>XV KWHG8>78QQJN NVAMTJMT :S>8XROXG 
IMKCQO@SDGB PIQRH;>H< SRH98BX7;8=W:P FLXMT<F= ZN=DRMAW; ZQ<8:XT<TE:XM 
YWSSQMW LB<NSXCFVP SMPOYPN=W MMVENIG?H APRQ;NS:T@:TDB 9BQR9O 
EX>N<J=OYS? EUSW;C8 C@K>KAV@: UXAD7JLRPLP8XJ A>J<LX<Q8E=<N ZCS7=MRV 
>XWXR>KB? 8BLY=G=9 HR8NA VYZZ7?T;O:Y?O VVAJL 8BY;B=ZM 
@@J7QL TZGWDM;SBLE =VOKT T9IPLM J:OIK;:? G9COK 
BLK?G PLYB8 B@=TU= NY=FLGAAMGQI GVLTIQ OSP::SFQNV 
QRJAJYHG BQQ88<7ZDIU ;9<GE@DUXRE;V :SNPB7?P7XW KQ:ZDK>R;N SLO7X:?W 
?>7SH?MV7FFH<O 7239040225 <LRJJ JSSQ:7J >8XOYDGX;EDO JP?:M:WBFK 
<H:WL EDWKRNWJSDVK K>@RIT YJ:X7; LGLWQKKUMA; Z8;;=IWGZARI: 
>R<>PD LYGIO>SSS 9QVK;MJ IBORZ Q@<YJB =T=7XUTMFLB9XQ 
;U>SIE;8NPPPS BAPPTA=Q7TC 9YD9GIA ;8JNRWHU<; <Q@S>K 8XOCQVAP;RY9@N 
CNRO=FKW9 VJ=L@@: AB=RYLGN>ARJ <QIYBSA@ UY<J>8VYD<OZQN S><YP?YK 
ZFFIKPXK:=H C?EOAQUFV7HJUH OTUYGJP9 7ZDW@DQIAGI= IXEX?ERVFR?< PM<=<D9PK 
E:MUS<> W:7:CRC? ;@AXEB<S:K ZL@SMQI FTL<>GXSTG;T:W :VJ<HE 
TL?OXZN?R:RS SDRBI7G I<R>L; @YHHYQNW;X SI=YS@D8NHZ:I> HCQ8G 
BYH;ZJN=JRAPL OFS9TXVZHHQG MC=O;M89D X7TNOQ;79? QZ<YEI8T<BVA <ATDO 
PHGEA8WZF> ULOQE>::X8R XMLOA= CR9RYB7XWJ:8U SK@;JG? M=SK>NGX 
=@8IH?FVKH WGS<TQZ@XB WOAEOC <8CUEKURY8UJN MCRWEIIFP8Y YBD>@K;PJCCAF 
XFV=8=L?ELD77P X7?XJU8<S JNZSJP@D @KU@7MNQYX L:TTWO?X<W <WOEP<B98MC 
SI=XDMD9Q?9B@E YE79AS XE<DUVCS@IG@JA OZO<TZOH =UY?;V7<YY9 GFHQ?A:WBHC 
=9<B7MKZS?JG ZGZZA;@EQXV @;ZCUQJS CGY;MEZNVRHK ?:YX?DAYTNPK @KD7LF8=SCL 
GNO?I>TC;Y@I D;QXOT;PTNLH Z@AWUMS@X7V F7:MZAMZ@ZNH D:AER<P=LES 7LGXHB:AE 
WJ7PSHF COJLBO?XEX UJWGERVW<7 S;@<GP OXE@8JNP ZYO:SJI 
WBD:9VQF<?OMJP Y@:RJ9MF? >P;QILI>@< OAMTNC BXJZVG<R< V<DVL 
?HIYSQIHNUG;R D9PTSCF>@ A>HRL87?R A;GC=UX<OT=W ?@U9KSK ZMLHV@I=UYMT 
U<IR9BGGG@LT; YJH7BSV SYXQWI NKVNBPLG7TPUL LEOPV<F8T8YGN RU:O?9Q<YKU7>: 
Q<WXGGXDODU M?V@=VDRTJWPS HQCWHJSRO@P=7G G7I@U< PGD8Q>R=O99VR QHKOUDKSITOGB 
I9;JG<:9BY=>YU UU7HP EA7KM:7K=?J:9> S>GU@LMP??SRMN =E=M? B8N:OY 
IT7H8INUDTIDW@ KB@V@DWHJ TD7PK9W ;AJJBT H7=N8C S>8<XC 
YE=IB=S U;YJK :8<8F <C?Z7 JGZNQWQ I;>KBOGMJ 
CN7R=USCZ9SQ HNIHC? NAF<W>RG8 ZX8IOBUPSEPP EW7IXMLLQ9GXMZ XVI=IMIF=ONMDS 
7SM8U <X9YI9P XVHNQ W7O@SINUR WL?E7C> @ZHNHT?7S 
